Date,Opponent
2019-10-26,vs Toronto 
2019-11-01,vs Detroit 
2019-11-05,vs Los Angeles 
2019-11-09,vs Houston 
2019-11-12,vs New York 
2019-11-16,vs Brooklyn 
2019-11-18,vs Milwaukee 
2019-11-20,vs Detroit 
2019-11-22,vs Miami 
2019-11-25,vs Portland 
2019-12-04,vs Memphis 
2019-12-06,vs Golden State 
2019-12-09,vs Toronto 
2019-12-11,vs Atlanta 
2019-12-13,vs Charlotte 
2019-12-14,vs LA 
2019-12-28,vs Atlanta 
2019-12-30,vs Milwaukee 
2019-10-07,vs Milwaukee 
2019-10-09,vs New Orleans
2019-10-17,vs Atlanta
2018-11-02,vs Indiana 
2018-11-03,vs Houston 
2018-11-10,vs Cleveland 
2018-11-12,vs Dallas 
2018-11-17,vs Toronto 
2018-11-21,vs Phoenix 
2018-11-23,vs Miami 
2018-11-26,vs San Antonio 
2018-12-07,vs Oklahoma City 
2018-12-08,vs Boston 
2018-12-10,vs Sacramento 
2018-12-13,vs Orlando *
2018-12-19,vs Brooklyn 
2018-12-21,vs Orlando 
2018-12-26,vs Minnesota 
2019-01-02,vs Orlando 
2019-01-04,vs Indiana 
2019-01-06,vs Brooklyn 
2019-01-19,vs Miami 
2019-01-23,vs Atlanta 
2019-01-25,vs LA 
2019-01-27,vs Cleveland 
2019-02-06,vs New Orleans 
2019-02-09,vs Washington 
2019-02-11,vs Milwaukee 
2019-02-13,vs Memphis 
2019-02-23,vs Boston 
2019-02-25,vs Milwaukee 
2019-03-03,vs Atlanta 
2019-03-06,vs Philadelphia 
2019-03-08,vs Detroit 
2019-03-12,vs Los Angeles 
2019-03-20,vs Washington 
2019-03-23,vs Utah 
2019-03-27,vs Portland 
2019-03-30,vs Toronto 
2019-04-06,vs Philadelphia 
2019-04-09,vs New York 
