CAC Code,GEOG,MED_AGE,MEDINC,TOT_POP,POP_16OV,IN_LBFRC,EMP,UNEMP,LT_HS
14,Albany Park,33.66573315,58128.20513,51992,41342,29224,27098,2060,7441
57,Archer Heights,33.3543923,46632.12435,13142,9871,6561,5956,605,2357
34,Armour Square,43.83373934,26466.21622,13455,11580,6620,5849,772,3351
70,Ashburn,35.87248322,66560.12658,43792,33341,22287,19383,2904,4202
71,Auburn Gresham,39.77464195,31694.19134,46278,37125,20714,16330,4376,5224
25,Austin,35.31122795,32843.04285,95260,74018,41036,34730,6306,12960
45,Avalon Park,44.07438017,41394.23077,9985,8300,4244,3486,757,982
21,Avondale,32.72315789,51702.6749,37368,30369,21058,19896,1162,6146
19,Belmont Cragin,32.89033154,47262.93103,79910,60172,40846,37066,3763,17754
72,Beverly,43.21455648,91903.40909,20822,16384,10756,10089,667,483
60,Bridgeport,37.02781371,45670.73171,33637,28169,18656,17004,1651,5077
58,Brighton Park,31.24095212,40513.36898,44813,32913,20894,18601,2285,10831
47,Burnside,46.04166667,24940.94488,2254,1953,1116,867,249,235
48,Calumet Heights,49.54450262,49767.65799,13188,11610,6448,5652,796,1073
44,Chatham,39.55257009,32596.80135,31120,24778,15255,12360,2896,2478
66,Chicago Lawn,31.62095379,33843.62348,53098,40196,25821,20135,5678,9109
64,Clearing,35.935261,62381.75676,25891,20091,13332,11986,1346,2575
35,Douglas,33.42665357,31906.97674,20781,17871,9769,8306,1463,1592
17,Dunning,41.04459327,65947.63092,43689,35626,23484,22210,1198,3930
27,East Garfield Park,30.49344501,23116.16162,19996,14740,7309,5959,1350,2536
52,East Side,31.92320261,43224.40087,23737,17732,11059,9032,1999,4309
77,Edgewater,39.02277542,49287.01181,55965,50477,34615,32474,2141,4060
9,Edison Park,40.44797688,99194.21488,11605,9218,6616,6425,191,418
68,Englewood,31.94823232,19795.0429,25075,18649,9483,6251,3232,4043
12,Forest Glen,42.98728814,110365.4791,19019,14654,9667,9299,368,731
37,Fuller Park,49.70070423,23357.14286,2439,2077,929,650,279,479
63,Gage Park,28.50899918,41138.39286,40873,29044,19693,16980,2706,9139
56,Garfield Ridge,38.68334551,68211.92053,36396,29009,18731,16962,1769,4497
38,Grand Boulevard,37.69596542,31970.13487,22313,17566,10682,8735,1935,2215
69,Greater Grand Crossing,35.68322981,27035.42781,31766,24955,13880,10824,3056,2893
55,Hegewisch,40.52204176,55429.6875,9418,7678,4675,4285,390,895
20,Hermosa,32.58101852,39590.64327,24144,18519,12795,11852,943,5785
23,Humboldt Park,30.24567739,35941.35802,56427,41057,25411,22324,3087,9535
41,Hyde Park,31.20274527,52627.11864,26827,23926,14730,13741,980,578
16,Irving Park,35.72197222,59537.67123,54606,44212,31388,29533,1814,5612
11,Jefferson Park,40.78052995,71459.19421,26808,22200,14962,14103,859,2185
39,Kenwood,37.67619421,44087.98283,17189,14471,9016,8039,977,946
6,Lake View,31.1677798,86118.62301,100470,89508,75100,72712,2333,1572
7,Lincoln Park,30.23477452,99684.56573,67710,58827,45750,44327,1423,1174
4,Lincoln Square,35.07910312,71736.93086,41715,35365,26914,25776,1138,2485
22,Logan Square,31.88502016,70338.93986,73046,60303,46345,44373,1959,5814
31,Lower West Side,32.12103233,42457.55518,32888,26397,17885,16640,1245,7288
59,McKinley Park,34.02918288,44904.21456,15767,12229,7943,6986,957,2897
18,Montclare,37.62417219,48122.3176,13830,11122,6758,6233,503,2108
75,Morgan Park,42.15082793,58816.25442,22394,17912,10204,9005,1199,1301
74,Mount Greenwood,37.00692747,94677.08333,19277,15175,9932,9620,312,544
8,Near North Side,34.89373482,93707.26029,88893,82469,61173,58780,2393,1723
33,Near South Side,35.77313054,94151.75613,23620,20304,16607,16092,503,642
28,Near West Side,30.78962636,80727.42475,62872,54543,38516,35286,3194,3492
61,New City,31.15403956,32861.79922,39561,29133,18029,14730,3299,6789
5,North Center,34.11271857,104351.2165,35789,27636,22288,21477,795,1578
29,North Lawndale,29.39704311,26361.91199,35947,26444,13817,11064,2753,5093
13,North Park,38.49878935,56086.95652,18842,15110,9199,8552,647,1634
10,Norwood Park,44.01426607,74069.37653,37089,30546,19646,18734,912,2098
36,Oakland,33.78112033,28291.45729,6645,4917,3240,2509,731,602
76,O'Hare,38.07810107,49294.87179,12377,10543,6915,6387,528,1087
15,Portage Park,37.94751495,61392.54837,64307,52439,36593,34010,2555,6870
50,Pullman,40.97960993,40662.05534,6613,5476,3525,2911,614,566
54,Riverdale,21.65656566,13344.7099,7394,4551,2742,1766,976,686
1,Rogers Park,33.972649,39106.1828,55062,46136,32411,29897,2483,5231
49,Roseland,39.67787419,38685.63686,42433,33891,18876,14259,4580,4089
46,South Chicago,35.43152866,29580.68615,28263,21701,12909,10283,2626,3287
51,South Deering,38.47342398,34093.75,14614,11338,6324,4907,1417,2059
30,South Lawndale,29.75836288,32896.0396,74851,55816,28221,25763,2458,21534
43,South Shore,37.85884811,24344.64405,50418,39871,22835,18598,4237,3804
32,The Loop,32.85972306,103336.2793,35880,33638,24030,22828,1096,486
3,Uptown,36.80184478,49680.90452,57973,51647,36790,34325,2423,4499
73,Washington Heights,41.95731707,44706.60147,27453,22881,13405,10943,2444,1964
40,Washington Park,29.23340961,25384.61538,11502,7870,4757,3651,1106,1152
62,West Elsdon,31.0600304,54849.39759,19237,14482,9596,8466,1130,3113
67,West Englewood,37.59831461,28006.27943,29929,23392,12258,8386,3872,4195
26,West Garfield Park,29.1840836,23250,17163,12258,5705,4565,1140,2652
65,West Lawn,31.22836096,50497.88136,33108,24565,16394,14241,2153,6142
53,West Pullman,36.24724872,38144.49064,27742,21341,12895,9653,3242,2791
2,West Ridge,35.25100753,49855.33454,76215,58939,38121,34858,3263,8914
24,West Town,32.1312524,88761.04764,84502,72837,60234,57405,2829,5883
42,Woodlawn,31.53846154,25122.2597,23268,18010,9437,7773,1664,1913
