Date,Opponent
2019-04-08,vs Pittsburgh 
2019-04-10,vs Pittsburgh 
2019-04-11,vs Pittsburgh 
2019-04-12,vs Los Angeles 
2019-04-13,vs Los Angeles 
2019-04-19,vs Arizona 
2019-04-20,vs Arizona 
2019-04-21,vs Arizona 
2019-04-23,vs Los Angeles 
2019-04-24,vs Los Angeles 
2019-04-25,vs Los Angeles 
2019-05-03,vs St. Louis 
2019-05-04,vs St. Louis 
2019-05-05,vs St. Louis 
2019-05-06,vs Miami 
2019-05-07,vs Miami 
2019-05-08,vs Miami 
2019-05-09,vs Miami 
2019-05-10,vs Milwaukee 
2019-05-11,vs Milwaukee 
2019-05-12,vs Milwaukee 
2019-05-20,vs Philadelphia 
2019-05-21,vs Philadelphia 
2019-05-22,vs Philadelphia 
2019-05-23,vs Philadelphia 
2019-05-24,vs Cincinnati 
2019-05-25,vs Cincinnati 
2019-05-26,vs Cincinnati 
2019-06-03,vs Los Angeles 
2019-06-04,vs Colorado 
2019-06-05,vs Colorado 
2019-06-06,vs Colorado 
2019-06-07,vs St. Louis 
2019-06-08,vs St. Louis 
2019-06-09,vs St. Louis 
2019-06-18,vs Chicago 
2019-06-19,vs Chicago 
2019-06-20,vs New York 
2019-06-21,vs New York 
2019-06-22,vs New York 
2019-06-23,vs New York 
2019-06-24,vs Atlanta 
2019-06-25,vs Atlanta 
2019-06-26,vs Atlanta 
2019-06-27,vs Atlanta 
2019-07-12,vs Pittsburgh 
2019-07-13,vs Pittsburgh 
2019-07-14,vs Pittsburgh 
2019-07-15,vs Cincinnati 
2019-07-16,vs Cincinnati 
2019-07-17,vs Cincinnati 
2019-07-19,vs San Diego 
2019-07-20,vs San Diego 
2019-07-21,vs San Diego 
2019-08-02,vs Milwaukee 
2019-08-03,vs Milwaukee 
2019-08-04,vs Milwaukee 
2019-08-05,vs Oakland 
2019-08-06,vs Oakland 
2019-08-07,vs Oakland 
2019-08-18,vs Pittsburgh *
2019-08-20,vs San Francisco 
2019-08-21,vs San Francisco 
2019-08-22,vs San Francisco 
2019-08-23,vs Washington 
2019-08-24,vs Washington 
2019-08-25,vs Washington 
2019-08-30,vs Milwaukee 
2019-08-31,vs Milwaukee 
2019-09-01,vs Milwaukee 
2019-09-02,vs Seattle 
2019-09-03,vs Seattle 
2019-09-13,vs Pittsburgh 
2019-09-14,vs Pittsburgh 
2019-09-15,vs Pittsburgh 
2019-09-16,vs Cincinnati 
2019-09-17,vs Cincinnati 
2019-09-18,vs Cincinnati 
2019-09-19,vs St. Louis 
2019-09-20,vs St. Louis 
2019-09-21,vs St. Louis 
2019-09-22,vs St. Louis 
