DATE,Daily Avg Temperature,Daily Total Precipitation,Daily Avg WindSpeed
2018-11-01,49.23,0,14.68
2018-11-02,44.36,0,7.46
2018-11-03,43.89,0.05,6.43
2018-11-04,50.13,0.56,15.2
2018-11-05,48.36,0.45,9.98
2018-11-06,46,0.08,17.93
2018-11-07,36.88,0,14.53
2018-11-08,37.17,0,5.31
2018-11-09,31.84,0.08,11.38
2018-11-10,26.63,0,12.23
2018-11-11,34.54,0,7.89
2018-11-12,32.25,0,10.56
2018-11-13,24.11,0,10.32
2018-11-14,28.06,0,5.69
2018-11-15,32.31,0.22,7.78
2018-11-16,35.56,0,11.28
2018-11-17,34.64,0.12,5.67
2018-11-18,32.39,0.03,6.65
2018-11-19,29.79,0,7.21
2018-11-20,31.79,0,12.14
2018-11-21,33.07,0,10.32
2018-11-22,34.55,0,10.91
2018-11-23,43.57,0.04,11.77
2018-11-24,44.32,0.23,10.05
2018-11-25,37.95,1.01,15.1
2018-11-26,28.61,0.12,17.76
2018-11-27,22.24,0,10.03
2018-11-28,24.81,0,6.6
2018-11-29,32.61,0,5.57
2018-11-30,37.24,0,5.88
2018-12-01,40.48,1.55,13.36
2018-12-02,41.35,0.12,9.43
2018-12-03,33.15,0,13.33
2018-12-04,30.64,0,9
2018-12-05,28.7,0,10.11
2018-12-06,28.76,0,10.34
2018-12-07,20.86,0,7.71
2018-12-08,25.34,0,4.72
2018-12-09,25.27,0,3.43
2018-12-10,25.11,0,6.61
2018-12-11,31.71,0,7.82
2018-12-12,36.33,0,12.03
2018-12-13,37.51,0.33,6.14
2018-12-14,39.84,0.19,7.84
2018-12-15,37.14,0,7.58
2018-12-16,35.78,0,6.22
2018-12-17,32.86,0,6.86
2018-12-18,32.75,0,6.79
2018-12-19,42.11,0,11.07
2018-12-20,44.66,0.02,8.2
2018-12-21,34.3,0.04,14.67
2018-12-22,31.76,0,7.05
2018-12-23,34,0,11.64
2018-12-24,29.39,0,7.64
2018-12-25,36.9,0.02,5.37
2018-12-26,38.75,0,6.07
2018-12-27,46.22,0.83,16.89
2018-12-28,36.65,0,17.25
2018-12-29,28.73,0.01,7.68
2018-12-30,28.55,0,11.66
2018-12-31,37.85,1.03,11.07
2019-01-01,30.08,0,7.93
2019-01-02,29.85,0,9.49
2019-01-03,32.32,0,11.29
2019-01-04,38.68,0,8.11
2019-01-05,41.25,0,8
2019-01-06,39.53,0,12.6
2019-01-07,48.03,0.82,18
2019-01-08,39.91,0,15.38
2019-01-09,20.74,0,15.29
2019-01-10,20.63,0,5.2
2019-01-11,28.28,0,6.34
2019-01-12,30.41,0.15,11.52
2019-01-13,29.68,0,12.85
2019-01-14,25.09,0,9.33
2019-01-15,27.73,0,12.43
2019-01-16,32.15,0,9.32
2019-01-17,32.49,0,5.44
2019-01-18,30.33,0,12.03
2019-01-19,25.29,0.05,20.04
2019-01-20,11.78,0,14.5
2019-01-21,11.03,0,8
2019-01-22,27.02,0.21,10.31
2019-01-23,28.94,0.26,9.51
2019-01-24,14.7,0,13.82
2019-01-25,2.8,0,10.6
2019-01-26,7.11,0.04,6.43
2019-01-27,5.32,0,7.89
2019-01-28,21.53,0.42,15.4
2019-01-29,3.16,0,17.49
2019-01-30,-15.63,0,16.77
2019-01-31,-8.21,0.03,5.89
2019-02-01,11.91,0,6.03
2019-02-02,33.21,0,10.45
2019-02-03,43.43,0,10.09
2019-02-04,45,0.02,11.82
2019-02-05,31.13,0.61,9.98
2019-02-06,34.65,0.11,7
2019-02-07,32.84,0.83,12.24
2019-02-08,9.85,0,19.18
2019-02-09,16.38,0,6.07
2019-02-10,26.56,0.06,6.34
2019-02-11,30.54,0.22,12.38
2019-02-12,29.9,0.33,14.73
2019-02-13,20.58,0,16.45
2019-02-14,39.48,0,12.07
2019-02-15,18.47,0,13.43
2019-02-16,24.14,0,9.96
2019-02-17,27.09,0.17,10.33
2019-02-18,25.79,0.02,7.3
2019-02-19,25.61,0,5.04
2019-02-20,32.4,0.06,14.67
2019-02-21,30.46,0,11.5
2019-02-22,31.82,0,8.21
2019-02-23,38.66,0.66,9.96
2019-02-24,30.24,0.01,26.09
2019-02-25,16.46,0,10.18
2019-02-26,22.31,0,12.69
2019-02-27,25.5,0,9.63
2019-02-28,21.67,0,4.6
2019-03-01,30.27,0,5.83
2019-03-02,30.06,0,8.57
2019-03-03,20.15,0,11.39
2019-03-04,6.43,0,15.43
2019-03-05,13.85,0,16.21
2019-03-06,21.29,0,12.89
2019-03-07,23.8,0,6.33
2019-03-08,30.88,0,6.38
2019-03-09,38.1,0.58,15.38
2019-03-10,35.39,0,21.25
2019-03-11,33.46,0,9.5
2019-03-12,39.18,0,8.86
2019-03-13,48.53,0.53,11.97
2019-03-14,53.67,0.69,18.64
2019-03-15,37.27,0,16.37
2019-03-16,34.96,0,9.54
2019-03-17,36.48,0,7.14
2019-03-18,36.43,0,7.5
2019-03-19,41.57,0,8.18
2019-03-20,42.17,0.1,9.14
2019-03-21,39.85,0,10.39
2019-03-22,38.68,0,11.43
2019-03-23,40.68,0,4.29
2019-03-24,43.89,0.11,7.8
2019-03-25,36.35,0,16.52
2019-03-26,37.34,0,5.66
2019-03-27,46.39,0.08,12.18
2019-03-28,52.61,0.01,11.36
2019-03-29,45.75,0.49,8.56
2019-03-30,38.35,0.43,13.65
2019-03-31,31.55,0,12.48
2019-04-01,39.39,0,13.04
2019-04-02,44.9,0,13.97
2019-04-03,49.07,0.02,8.93
2019-04-04,44.11,0.37,11.14
2019-04-05,47.5,0,3.59
2019-04-06,52.32,0,4.73
2019-04-07,61.65,0.08,10.41
2019-04-08,63.71,0,8.5
2019-04-09,57.17,0,12.87
2019-04-10,38.79,0.1,16.57
2019-04-11,49.3,0.43,13.32
2019-04-12,47.77,0.14,18.3
2019-04-13,44.18,0,12.64
2019-04-14,34.23,0.92,16.48
2019-04-15,43.19,0,8.55
2019-04-16,57.9,0,10.1
2019-04-17,62.96,0,12.04
2019-04-18,52.51,0.81,11.76
2019-04-19,44.15,0,21.76
2019-04-20,51.93,0,14.39
2019-04-21,63.61,0,8.39
2019-04-22,69.06,0.28,12.81
2019-04-23,55.59,0,9.29
2019-04-24,55.32,0,5.64
2019-04-25,56.94,0.06,8.29
2019-04-26,56.32,0.03,15.61
2019-04-27,36.35,1.66,12.31
2019-04-28,43.96,0,11
2019-04-29,48.18,1.31,11.05
2019-04-30,45.09,2.68,10.91
2019-05-01,52.59,0.95,9.57
2019-05-02,44.78,0.33,8.8
2019-05-03,49,0.02,11.28
2019-05-04,51.77,0,6.39
2019-05-05,61.89,0,6.25
2019-05-06,56.72,0.04,9.21
2019-05-07,46.78,0.74,11.94
2019-05-08,59.53,0.79,11.84
2019-05-09,60.51,2.01,11.14
2019-05-10,48.65,0,8.84
2019-05-11,47.61,0.07,8.32
2019-05-12,46.69,0.08,10.86
2019-05-13,51.75,0,8.07
2019-05-14,58.64,0,4.82
2019-05-15,65.54,0,3.71
2019-05-16,67.92,0.17,8.64
2019-05-17,52.97,0.75,11.72
2019-05-18,60.05,0.6,7.76
2019-05-19,65.69,0.19,16.22
2019-05-20,50.94,0,10.67
