Date,Opponent
2019-04-05,vs Seattle 
2019-04-06,vs Seattle 
2019-04-07,vs Seattle 
2019-04-08,vs Tampa Bay 
2019-04-09,vs Tampa Bay 
2019-04-10,vs Tampa Bay 
2019-04-15,vs Kansas City 
2019-04-16,vs Kansas City 
2019-04-17,vs Kansas City 
2019-04-26,vs Detroit 
2019-04-28,vs Detroit 
2019-04-29,vs Baltimore 
2019-05-01,vs Baltimore 
2019-05-01,vs Baltimore 
2019-05-02,vs Boston 
2019-05-03,vs Boston 
2019-05-04,vs Boston 
2019-05-05,vs Boston 
2019-05-13,vs Cleveland 
2019-05-14,vs Cleveland 
2019-05-16,vs Toronto 
2019-05-17,vs Toronto 
2019-05-18,vs Toronto 
2019-05-19,vs Toronto 
2019-05-27,vs Kansas City 
2019-05-28,vs Kansas City 
2019-05-29,vs Kansas City 
2019-05-30,vs Cleveland 
2019-05-31,vs Cleveland 
2019-06-01,vs Cleveland 
2019-06-02,vs Cleveland 
2019-06-10,vs Washington 
2019-06-11,vs Washington 
2019-06-13,vs New York 
2019-06-14,vs New York 
2019-06-15,vs New York 
2019-06-16,vs New York 
2019-06-28,vs Minnesota 
2019-06-29,vs Minnesota 
2019-06-30,vs Minnesota 
2019-07-03,vs Detroit 
2019-07-03,vs Detroit 
2019-07-04,vs Detroit 
2019-07-06,vs Chicago 
2019-07-07,vs Chicago 
2019-07-23,vs Miami 
2019-07-24,vs Miami 
2019-07-25,vs Minnesota 
2019-07-26,vs Minnesota 
2019-07-27,vs Minnesota 
2019-07-28,vs Minnesota 
2019-07-30,vs New York 
2019-07-31,vs New York 
2019-08-01,vs New York 
2019-08-09,vs Oakland 
2019-08-10,vs Oakland 
2019-08-11,vs Oakland 
2019-08-13,vs Houston 
2019-08-13,vs Houston 
2019-08-14,vs Houston 
2019-08-22,vs Texas 
2019-08-23,vs Texas 
2019-08-24,vs Texas 
2019-08-25,vs Texas 
2019-08-27,vs Minnesota 
2019-08-28,vs Minnesota 
2019-08-29,vs Minnesota 
2019-09-06,vs Los Angeles 
2019-09-07,vs Los Angeles 
2019-09-08,vs Los Angeles 
2019-09-10,vs Kansas City 
2019-09-11,vs Kansas City 
2019-09-12,vs Kansas City 
2019-09-24,vs Cleveland 
2019-09-25,vs Cleveland 
2019-09-26,vs Cleveland 
2019-09-28,vs Detroit 
2019-09-28,vs Detroit 
2019-09-29,vs Detroit 
